ID,PlayerName,Rating,Club,Nation,NationTop,Card,League,LeagueTop,SkillMoves,WeakFoot,StrongFoot,Position,WorkRateAtk,WorkRateDef,HeightCm,HeightIn,WeightKg,WeightLb,Popularity,IGS_base,IGS_total,Reputation,BodyType,DOB,DateAdded,PAC,Acceleration,SprintSpeed,SHO,Positioning,Finishing,ShotPower,LongShots,Volleys,Penalties,PAS,Vision,Crossing,FKAccuracy,ShortPassing,LongPassing,Curve,DRI,Agility,Balance,Reactions,BallControl,Dribbling,Composure,DEF,Interceptions,HeadingAccuracy,DefAwareness,StandingTackle,SlidingTackle,PHY,Jumping,Stamina,Strength,Aggression,GK_DIVING,GK_Diving,GK_HANDLING,GK_Handling,GK_KICKING,GK_Kicking,GK_REFLEXES,GK_Reflexes,GK_SPEED,GK_Acceleration,GK_SprintSpeed,GK_POSITIONING,GK_Positioning,isGK,PlayerURL
204,Manuel Neuer,90,Germany,Germany,Germany,fut23 wc playergold rare,WC,OTHER,1,4,Right,GK,M,H,192,76,83,183,2866,505,2367,5,Unique,1986-03-27,2022-11-11,87,54,60,88,12,13,68,16,11,47,91,70,15,11,60,68,14,88,51,35,87,46,30,70,56,30,25,17,10,11,91,77,43,80,29,87.0,87.0,88.0,88.0,91.0,91.0,88.0,88.0,56.0,54.0,60.0,91.0,91.0,True,https://www.futbin.com/23/player/48834
218,Petr Cech,90,FUT ICONS,Czech Republic,Other,fut23 wc icon gold rare,ICN,ICN,1,3,Left,GK,M,M,196,77,90,198,247,489,1131,4,High&Average,1982-05-20,2022-11-26,88,55,51,87,13,14,60,13,13,28,80,61,22,23,38,41,23,90,68,65,90,24,19,70,53,24,28,27,15,24,91,73,45,77,27,88.0,88.0,87.0,87.0,80.0,80.0,90.0,90.0,53.0,55.0,51.0,91.0,91.0,True,https://www.futbin.com/23/player/50236
234,Edwin van der Sar,89,FUT ICONS,Netherlands,Netherlands,fut23 icon gold rare,ICN,ICN,1,3,Right,GK,M,M,197,78,83,183,548,482,971,4,High&Average+,1970-10-29,2021-08-31,87,50,43,86,11,7,62,10,12,20,83,71,13,10,49,49,10,90,56,48,85,33,9,60,47,22,11,9,9,9,89,76,37,77,13,87.0,87.0,86.0,86.0,83.0,83.0,90.0,90.0,47.0,50.0,43.0,89.0,89.0,True,https://www.futbin.com/23/player/66
250,Lev Yashin,89,FUT ICONS,Russia,Other,fut23 icon gold rare,ICN,ICN,1,3,Right,GK,M,M,189,74,82,181,278,494,1269,4,High&Average+,1929-10-22,2021-08-31,91,69,57,86,32,11,54,19,19,42,72,75,29,26,30,29,21,92,83,68,87,38,21,71,64,39,16,17,17,16,89,91,50,81,61,91.0,91.0,86.0,86.0,72.0,72.0,92.0,92.0,64.0,69.0,57.0,89.0,89.0,True,https://www.futbin.com/23/player/175
278,Alisson,89,Liverpool,Brazil,Brazil,fut23 gold rare,ENG 1,ENG 1,1,3,Right,GK,M,M,191,75,91,201,394,489,1070,3,Unique,1992-10-02,2022-09-12,86,58,49,85,13,13,64,14,20,23,85,66,17,18,60,58,19,89,40,37,87,40,27,68,54,11,29,15,19,16,90,52,32,78,27,86.0,86.0,85.0,85.0,85.0,85.0,89.0,89.0,54.0,58.0,49.0,90.0,90.0,True,https://www.futbin.com/23/player/26276
280,Ederson,89,Manchester City,Brazil,Brazil,fut23 gold rare,ENG 1,ENG 1,1,3,Left,GK,M,M,188,74,86,190,326,502,1215,3,Unique,1993-08-17,2022-09-12,87,64,63,82,20,14,70,18,18,51,93,70,20,20,61,66,15,88,60,48,88,40,23,70,64,27,14,29,15,8,88,66,41,78,38,87.0,87.0,82.0,82.0,93.0,93.0,88.0,88.0,64.0,64.0,63.0,88.0,88.0,True,https://www.futbin.com/23/player/26278
282,Jan Oblak,89,Atlético de Madrid,Slovenia,Other,fut23 gold rare,ESP 1,ESP 1,1,3,Right,GK,M,M,188,74,87,192,115,479,1040,5,Unique,1993-01-07,2022-09-12,86,43,58,90,11,11,59,12,13,11,78,65,13,14,43,40,13,89,65,49,87,30,12,68,49,21,15,27,12,18,87,77,41,78,34,86.0,86.0,90.0,90.0,78.0,78.0,89.0,89.0,49.0,43.0,58.0,87.0,87.0,True,https://www.futbin.com/23/player/26280
286,Iker Casillas,89,FUT ICONS,Spain,Spain,fut23 icon gold rare,ICN,ICN,1,3,Left,GK,M,M,185,73,84,185,-90,499,1292,4,Average,1981-05-20,2022-09-21,90,62,52,88,21,30,63,27,26,28,84,77,28,26,58,56,23,88,64,56,84,32,28,79,58,40,36,29,15,20,91,79,58,65,30,90.0,90.0,88.0,88.0,84.0,84.0,88.0,88.0,58.0,62.0,52.0,91.0,91.0,True,https://www.futbin.com/23/player/37405
296,Gianluigi Donnarumma,89,Paris SG,Italy,Italy,fut23 if gold rare,FRA 1,FRA 1,1,3,Right,GK,M,M,196,77,90,198,501,486,1018,3,Unique,1999-02-25,2022-10-12,91,52,57,84,14,12,59,18,8,24,81,60,12,14,36,34,12,90,64,38,85,30,28,65,54,26,12,20,14,16,86,72,34,72,30,91.0,91.0,84.0,84.0,81.0,81.0,90.0,90.0,54.0,52.0,57.0,86.0,86.0,True,https://www.futbin.com/23/player/48505
308,Alisson,89,Brazil,Brazil,Brazil,fut23 wc playergold rare,WC,OTHER,1,3,Right,GK,M,M,191,75,91,201,16,489,1070,3,Unique,1992-10-02,2022-11-11,86,58,49,85,13,13,64,14,20,23,85,66,17,18,60,58,19,89,40,37,87,40,27,68,54,11,29,15,19,16,90,52,32,78,27,86.0,86.0,85.0,85.0,85.0,85.0,89.0,89.0,54.0,58.0,49.0,90.0,90.0,True,https://www.futbin.com/23/player/48837
310,Ederson,89,Brazil,Brazil,Brazil,fut23 wc playergold rare,WC,OTHER,1,3,Left,GK,M,M,188,74,86,190,8,502,1215,3,Unique,1993-08-17,2022-11-11,87,64,63,82,20,14,70,18,18,51,93,70,20,20,61,66,15,88,60,48,88,40,23,70,64,27,14,29,15,8,88,66,41,78,38,87.0,87.0,82.0,82.0,93.0,93.0,88.0,88.0,64.0,64.0,63.0,88.0,88.0,True,https://www.futbin.com/23/player/48839
350,Petr Cech,88,FUT ICONS,Czech Republic,Other,fut23 icon gold rare,ICN,ICN,1,3,Left,GK,M,M,196,77,92,203,1348,481,1097,4,High&Average,1982-05-20,2021-08-31,87,52,50,87,14,12,59,11,12,28,79,59,23,24,37,40,22,88,66,64,86,23,17,64,51,26,25,28,14,23,89,72,42,78,26,87.0,87.0,87.0,87.0,79.0,79.0,88.0,88.0,51.0,52.0,50.0,89.0,89.0,True,https://www.futbin.com/23/player/234
375,ter Stegen,88,FC Barcelona,Germany,Germany,fut23 gold rare,ESP 1,ESP 1,1,4,Right,GK,M,M,187,74,85,187,499,480,1080,4,Unique,1992-04-30,2022-09-14,86,45,50,85,11,14,65,10,14,25,87,70,18,12,61,63,18,90,39,43,85,30,21,70,47,22,11,25,13,10,85,79,35,78,43,86.0,86.0,85.0,85.0,87.0,87.0,90.0,90.0,47.0,45.0,50.0,85.0,85.0,True,https://www.futbin.com/23/player/26385
377,Keylor Navas,88,Paris SG,Costa Rica,Other,fut23 gold rare,FRA 1,FRA 1,1,3,Right,GK,M,M,185,73,80,176,168,478,1071,3,High&Average,1986-12-15,2022-09-16,89,54,53,84,16,15,56,13,11,25,75,68,11,15,40,37,21,89,60,61,85,30,24,67,54,22,11,28,14,14,87,74,39,75,32,89.0,89.0,84.0,84.0,75.0,75.0,89.0,89.0,54.0,54.0,53.0,87.0,87.0,True,https://www.futbin.com/23/player/26571
378,Gianluigi Donnarumma,88,Paris SG,Italy,Italy,fut23 gold rare,FRA 1,FRA 1,1,3,Right,GK,M,M,196,77,90,198,209,478,1014,3,Unique,1999-02-25,2022-09-16,90,50,55,83,14,12,59,18,8,24,79,60,12,14,36,34,12,89,64,38,85,30,28,65,52,26,12,20,14,16,85,72,34,72,30,90.0,90.0,83.0,83.0,79.0,79.0,89.0,89.0,52.0,50.0,55.0,85.0,85.0,True,https://www.futbin.com/23/player/26588
402,Kevin Trapp,88,Frankfurt,Germany,Germany,fut23 if gold rare,GER 1,GER 1,1,4,Right,GK,M,M,189,74,84,185,221,479,903,3,High&Average,1990-07-08,2022-11-09,87,45,52,86,12,13,59,13,12,17,82,46,13,12,25,12,14,89,42,37,83,24,10,64,48,22,11,15,14,10,87,76,45,75,30,87.0,87.0,86.0,86.0,82.0,82.0,89.0,89.0,48.0,45.0,52.0,87.0,87.0,True,https://www.futbin.com/23/player/48753
409,Keylor Navas,88,Costa Rica,Costa Rica,Other,fut23 wc playergold rare,WC,OTHER,1,3,Right,GK,M,M,185,73,80,176,6,478,1071,3,High&Average,1986-12-15,2022-11-11,89,54,53,84,16,15,56,13,11,25,75,68,11,15,40,37,21,89,60,61,85,30,24,67,54,22,11,28,14,14,87,74,39,75,32,89.0,89.0,84.0,84.0,75.0,75.0,89.0,89.0,54.0,54.0,53.0,87.0,87.0,True,https://www.futbin.com/23/player/48844
410,ter Stegen,88,Germany,Germany,Germany,fut23 wc playergold rare,WC,OTHER,1,4,Right,GK,M,M,187,74,85,187,6,480,1080,4,Unique,1992-04-30,2022-11-11,86,45,50,85,11,14,65,10,14,25,87,70,18,12,61,63,18,90,39,43,85,30,21,70,47,22,11,25,13,10,85,79,35,78,43,86.0,86.0,85.0,85.0,87.0,87.0,90.0,90.0,47.0,45.0,50.0,85.0,85.0,True,https://www.futbin.com/23/player/48845
416,Jorge Campos,88,HERO,Mexico,Other,fut23 wc heroesgold rare,MLS,OTHER,3,4,Right,GK,M,M,170,67,65,143,107,521,1990,3,Short&Lean,1966-10-15,2022-11-11,95,89,81,85,85,79,61,64,89,75,82,74,54,58,61,64,67,91,92,74,88,77,74,81,86,55,69,32,38,47,82,91,67,52,52,95.0,95.0,85.0,85.0,82.0,82.0,91.0,91.0,86.0,89.0,81.0,82.0,82.0,True,https://www.futbin.com/23/player/50118
451,Edwin van der Sar,87,FUT ICONS,Netherlands,Netherlands,fut23 icon gold rare,ICN,ICN,1,3,Right,GK,M,M,197,78,83,183,418,476,985,4,High&Average+,1970-10-29,2021-08-31,86,52,44,83,15,8,63,11,12,24,84,72,14,11,50,50,12,88,58,50,84,34,10,52,49,18,12,8,8,8,86,77,38,76,14,86.0,86.0,83.0,83.0,84.0,84.0,88.0,88.0,49.0,52.0,44.0,86.0,86.0,True,https://www.futbin.com/23/player/65
484,David De Gea,87,Manchester Utd,Spain,Spain,fut23 gold rare,ENG 1,ENG 1,1,3,Right,GK,M,M,192,76,76,168,537,468,1056,4,Unique,1990-11-07,2022-09-13,88,52,50,80,12,13,57,12,13,29,76,53,17,19,48,50,21,89,63,43,89,34,18,58,51,30,21,25,21,13,84,67,43,55,30,88.0,88.0,80.0,80.0,76.0,76.0,89.0,89.0,51.0,52.0,50.0,84.0,84.0,True,https://www.futbin.com/23/player/26306
485,Hugo Lloris,87,Spurs,France,France,fut23 gold rare,ENG 1,ENG 1,1,1,Left,GK,M,M,188,74,82,181,184,478,1041,4,Unique,1986-12-26,2022-09-13,88,61,62,83,9,10,56,14,15,40,74,59,13,10,54,55,12,88,54,56,84,29,12,59,61,25,9,24,12,18,84,74,41,43,31,88.0,88.0,83.0,83.0,74.0,74.0,88.0,88.0,61.0,61.0,62.0,84.0,84.0,True,https://www.futbin.com/23/player/26308
496,Mike Maignan,87,Milan,France,France,fut23 gold rare,ITA 1,ITA 1,1,4,Right,GK,M,M,191,75,89,196,743,477,1136,2,High&Average,1995-07-03,2022-09-16,85,50,53,82,15,15,64,20,16,15,85,61,18,16,57,53,38,89,41,56,85,40,31,66,51,25,17,23,16,19,85,74,39,78,35,85.0,85.0,82.0,82.0,85.0,85.0,89.0,89.0,51.0,50.0,53.0,85.0,85.0,True,https://www.futbin.com/23/player/26593
500,Jorge Campos,87,HERO,Mexico,Other,fut23 heroesgold rare,MLS,OTHER,3,4,Right,GK,M,M,170,67,65,143,115,511,1986,3,Short&Lean,1966-10-15,2022-09-21,93,87,79,83,85,79,61,64,89,75,81,74,54,58,61,64,67,90,92,74,88,77,74,81,84,55,69,32,38,47,80,91,67,52,52,93.0,93.0,83.0,83.0,81.0,81.0,90.0,90.0,84.0,87.0,79.0,80.0,80.0,True,https://www.futbin.com/23/player/28596
502,Iker Casillas,87,FUT ICONS,Spain,Spain,fut23 icon gold rare,ICN,ICN,1,3,Left,GK,M,M,185,73,70,154,-106,487,1253,4,Average,1981-05-20,2022-09-21,87,65,56,84,17,28,60,25,24,26,80,72,26,24,55,55,21,91,69,57,88,30,26,75,61,35,34,25,13,18,84,81,60,60,28,87.0,87.0,84.0,84.0,80.0,80.0,91.0,91.0,61.0,65.0,56.0,84.0,84.0,True,https://www.futbin.com/23/player/37404
508,Wojciech Szczesny,87,Juventus,Poland,Other,fut23 if gold rare,ITA 1,ITA 1,1,3,Right,GK,M,M,195,77,90,198,303,469,968,3,High&Average+,1990-04-18,2022-09-28,87,52,48,83,14,12,55,14,14,18,74,48,12,14,32,36,16,88,55,51,82,22,11,65,50,15,16,20,13,12,87,71,45,65,40,87.0,87.0,83.0,83.0,74.0,74.0,88.0,88.0,50.0,52.0,48.0,87.0,87.0,True,https://www.futbin.com/23/player/48405
511,Kevin Trapp,87,Frankfurt,Germany,Germany,fut23 if gold rare,GER 1,GER 1,1,4,Right,GK,M,M,189,74,84,185,213,471,901,3,High&Average,1990-07-08,2022-10-05,85,44,51,84,12,13,59,13,12,17,81,46,13,12,25,12,14,88,42,37,83,24,10,64,47,22,11,15,14,10,86,76,45,75,30,85.0,85.0,84.0,84.0,81.0,81.0,88.0,88.0,47.0,44.0,51.0,86.0,86.0,True,https://www.futbin.com/23/player/48452
550,David De Gea,87,Spain,Spain,Spain,fut23 wc playergold rare,WC,OTHER,1,3,Right,GK,M,M,192,76,76,168,12,468,1056,4,Unique,1990-11-07,2022-11-11,88,52,50,80,12,13,57,12,13,29,76,53,17,19,48,50,21,89,63,43,89,34,18,58,51,30,21,25,21,13,84,67,43,55,30,88.0,88.0,80.0,80.0,76.0,76.0,89.0,89.0,51.0,52.0,50.0,84.0,84.0,True,https://www.futbin.com/23/player/48858
551,Hugo Lloris,87,France,France,France,fut23 wc playergold rare,WC,OTHER,1,1,Left,GK,M,M,188,74,82,181,5,478,1041,4,Unique,1986-12-26,2022-11-11,88,61,62,83,9,10,56,14,15,40,74,59,13,10,54,55,12,88,54,56,84,29,12,59,61,25,9,24,12,18,84,74,41,43,31,88.0,88.0,83.0,83.0,74.0,74.0,88.0,88.0,61.0,61.0,62.0,84.0,84.0,True,https://www.futbin.com/23/player/48859
553,Mike Maignan,87,France,France,France,fut23 wc playergold rare,WC,OTHER,1,4,Right,GK,M,M,191,75,89,196,11,477,1136,2,High&Average,1995-07-03,2022-11-11,85,50,53,82,15,15,64,20,16,15,85,61,18,16,57,53,38,89,41,56,85,40,31,66,51,25,17,23,16,19,85,74,39,78,35,85.0,85.0,82.0,82.0,85.0,85.0,89.0,89.0,51.0,50.0,53.0,85.0,85.0,True,https://www.futbin.com/23/player/48861
594,Peter Schmeichel,86,FUT ICONS,Denmark,Other,fut23 icon gold rare,ICN,ICN,1,3,Right,GK,M,M,193,76,90,198,157,470,1077,4,High&Average,1963-11-18,2021-08-31,85,54,49,81,26,18,62,19,11,24,82,37,25,23,26,22,15,89,52,49,84,28,11,68,52,36,23,14,11,13,81,79,73,81,44,85.0,85.0,81.0,81.0,82.0,82.0,89.0,89.0,52.0,54.0,49.0,81.0,81.0,True,https://www.futbin.com/23/player/232
595,Petr Cech,86,FUT ICONS,Czech Republic,Other,fut23 icon gold rare,ICN,ICN,1,3,Left,GK,M,M,196,77,90,198,259,473,1054,4,High&Average,1982-05-20,2021-08-31,86,53,51,85,11,13,58,12,11,27,77,58,20,21,36,38,22,86,64,63,83,22,18,62,52,21,27,23,14,21,87,66,39,76,24,86.0,86.0,85.0,85.0,77.0,77.0,86.0,86.0,52.0,53.0,51.0,87.0,87.0,True,https://www.futbin.com/23/player/235
606,Édouard Mendy,86,Chelsea,Senegal,Other,fut23 gold rare,ENG 1,ENG 1,1,2,Right,GK,M,M,197,78,86,190,204,454,863,2,High&Average+,1992-03-01,2022-09-13,84,33,36,82,6,5,61,9,9,13,81,52,10,14,47,54,13,88,50,33,84,31,18,58,34,13,10,10,11,13,85,39,37,72,22,84.0,84.0,82.0,82.0,81.0,81.0,88.0,88.0,34.0,33.0,36.0,85.0,85.0,True,https://www.futbin.com/23/player/26304
610,Wojciech Szczesny,86,Juventus,Poland,Other,fut23 gold rare,ITA 1,ITA 1,1,3,Right,GK,M,M,195,77,90,198,187,462,966,3,High&Average+,1990-04-18,2022-09-13,86,51,47,81,14,12,55,14,14,18,73,48,12,14,32,36,16,87,55,51,82,22,11,65,49,15,16,20,13,12,86,71,45,65,40,86.0,86.0,81.0,81.0,73.0,73.0,87.0,87.0,49.0,51.0,47.0,86.0,86.0,True,https://www.futbin.com/23/player/26358
614,Kevin Trapp,86,Frankfurt,Germany,Germany,fut23 gold rare,GER 1,GER 1,1,4,Right,GK,M,M,189,74,84,185,151,463,899,3,High&Average,1990-07-08,2022-09-15,84,43,50,82,12,13,59,13,12,17,79,46,13,12,25,12,14,87,42,37,83,24,10,64,46,22,11,15,14,10,85,76,45,75,30,84.0,84.0,82.0,82.0,79.0,79.0,87.0,87.0,46.0,43.0,50.0,85.0,85.0,True,https://www.futbin.com/23/player/26421
631,Jerzy Dudek,86,HERO,Poland,Other,fut23 heroesgold rare,ENG 1,ENG 1,1,3,Left,GK,M,M,187,74,78,172,414,482,1058,4,High&Average,1973-03-23,2022-09-21,86,62,56,83,16,13,59,19,13,24,78,52,14,27,33,27,14,90,68,61,84,26,14,50,60,22,11,26,19,18,85,71,44,73,42,86.0,86.0,83.0,83.0,78.0,78.0,90.0,90.0,60.0,62.0,56.0,85.0,85.0,True,https://www.futbin.com/23/player/27806
697,Kevin Trapp,86,Germany,Germany,Germany,fut23 wc playergold rare,WC,OTHER,1,4,Right,GK,M,M,189,74,84,185,4,463,899,3,High&Average,1990-07-08,2022-11-11,84,43,50,82,12,13,59,13,12,17,79,46,13,12,25,12,14,87,42,37,83,24,10,64,46,22,11,15,14,10,85,76,45,75,30,84.0,84.0,82.0,82.0,79.0,79.0,87.0,87.0,46.0,43.0,50.0,85.0,85.0,True,https://www.futbin.com/23/player/48862
703,Édouard Mendy,86,Senegal,Senegal,Other,fut23 wc playergold rare,WC,OTHER,1,2,Right,GK,M,M,197,78,86,190,-1,454,863,2,High&Average+,1992-03-01,2022-11-11,84,33,36,82,6,5,61,9,9,13,81,52,10,14,47,54,13,88,50,33,84,31,18,58,34,13,10,10,11,13,85,39,37,72,22,84.0,84.0,82.0,82.0,81.0,81.0,88.0,88.0,34.0,33.0,36.0,85.0,85.0,True,https://www.futbin.com/23/player/48868
706,Wojciech Szczesny,86,Poland,Poland,Other,fut23 wc playergold rare,WC,OTHER,1,3,Right,GK,M,M,195,77,90,198,20,462,966,3,High&Average+,1990-04-18,2022-11-11,86,51,47,81,14,12,55,14,14,18,73,48,12,14,32,36,16,87,55,51,82,22,11,65,49,15,16,20,13,12,86,71,45,65,40,86.0,86.0,81.0,81.0,73.0,73.0,87.0,87.0,49.0,51.0,47.0,86.0,86.0,True,https://www.futbin.com/23/player/48871
781,Péter Gulácsi,85,RB Leipzig,Hungary,Other,fut23 gold rare,GER 1,GER 1,1,2,Right,GK,M,M,191,75,86,190,56,456,937,3,High&Average,1990-05-06,2022-09-15,85,42,44,84,11,10,57,12,10,24,76,44,16,11,35,31,18,85,41,42,81,25,19,45,43,23,23,25,16,20,83,67,37,74,34,85.0,85.0,84.0,84.0,76.0,76.0,85.0,85.0,43.0,42.0,44.0,83.0,83.0,True,https://www.futbin.com/23/player/26423
783,Yann Sommer,85,M'gladbach,Switzerland,Other,fut23 gold rare,GER 1,GER 1,1,4,Right,GK,M,M,183,72,79,174,61,467,996,3,Average,1988-12-17,2022-09-15,78,48,54,81,15,13,62,12,8,24,82,64,13,13,40,31,12,90,55,58,82,25,15,57,50,21,10,9,19,12,86,73,45,68,38,78.0,78.0,81.0,81.0,82.0,82.0,90.0,90.0,50.0,48.0,54.0,86.0,86.0,True,https://www.futbin.com/23/player/26426
822,Gregor Kobel,85,Dortmund,Switzerland,Other,fut23 if gold rare,GER 1,GER 1,1,3,Right,GK,M,M,195,77,88,194,347,462,916,1,High&Average,1997-12-06,2022-11-02,86,40,53,83,10,10,56,10,10,12,76,59,13,12,39,33,13,90,37,29,81,34,24,66,45,14,13,15,15,15,82,68,30,81,24,86.0,86.0,83.0,83.0,76.0,76.0,90.0,90.0,45.0,40.0,53.0,82.0,82.0,True,https://www.futbin.com/23/player/48714
833,Kasper Schmeichel,85,OGC Nice,Denmark,Other,fut23 if gold rare,FRA 1,FRA 1,1,3,Right,GK,M,M,189,74,89,196,51,465,1005,2,High&Stocky,1986-11-05,2022-11-09,84,44,51,81,13,12,59,14,15,26,82,59,18,15,40,49,13,88,60,47,82,40,12,67,47,20,16,14,14,13,83,60,34,63,35,84.0,84.0,81.0,81.0,82.0,82.0,88.0,88.0,47.0,44.0,51.0,83.0,83.0,True,https://www.futbin.com/23/player/48759
853,Yann Sommer,85,Switzerland,Switzerland,Other,fut23 wc playergold rare,WC,OTHER,1,4,Right,GK,M,M,183,72,79,174,2,467,996,3,Average,1988-12-17,2022-11-11,78,48,54,81,15,13,62,12,8,24,82,64,13,13,40,31,12,90,55,58,82,25,15,57,50,21,10,9,19,12,86,73,45,68,38,78.0,78.0,81.0,81.0,82.0,82.0,90.0,90.0,50.0,48.0,54.0,86.0,86.0,True,https://www.futbin.com/23/player/48887
900,Yassine Bounou,84,Sevilla FC,Morocco,Other,fut23 gold rare,ESP 1,ESP 1,1,2,Left,GK,M,M,192,76,78,172,415,447,908,1,High&Average+,1991-04-05,2022-09-14,84,37,34,81,10,14,57,19,13,24,76,62,15,19,39,44,12,86,47,29,80,12,20,57,36,12,14,20,18,15,84,48,43,69,25,84.0,84.0,81.0,81.0,76.0,76.0,86.0,86.0,36.0,37.0,34.0,84.0,84.0,True,https://www.futbin.com/23/player/26387
